,g,max_delta,max_ll_x,max_mu_hat,max_s2_t_hat,n,time,l,M,model,BIC,max_ll_y,D,pval,qval
42,DLST,0.022236832367010476,89.98594602364201,0.07232975545943221,0.03260904031459577,251,0.0005490779876708984,0.37858288392372463,4,SE,-157.8700802907569,88.62908678963612,1.3568592340058956,0.5608980879520895,1.0
43,C4orf29,0.0033086803240393405,276.95897290791385,0.017586871279450272,0.006712541654075509,251,0.0006489753723144531,0.37858288392372463,4,SE,-531.8161340593006,274.66485251128955,2.294120396624294,0.22103810848356895,1.0
44,DNAJB14,0.013436626760387597,228.48730535033377,0.033140064001186985,0.01034614960503949,251,0.0006060600280761719,0.37858288392372463,4,SE,-434.8727989441404,225.1390473085691,3.348258041764666,0.06929276633003688,1.0
45,DDX49,0.02497519715056152,128.73136287400064,0.06329225701263137,0.024027421794445503,251,0.0005409717559814453,0.37858288392372463,4,SE,-235.36091399147415,127.18005131556686,1.551311558433781,0.46839246050692096,1.0
46,BRMS1,0.0014402059171038449,136.66817942810854,0.06686136201262147,0.023712644848381943,251,0.0006279945373535156,0.37858288392372463,4,SE,-251.23454709968996,134.93185348691395,1.7363259411945933,0.3915884816500561,1.0
47,CXorf56,0.012021704996631946,284.7696482106972,0.019111593795800276,0.006319167913008406,251,0.0006718635559082031,0.37858288392372463,4,SE,-547.4374846648673,282.68754599992116,2.0821022107760427,0.2760007666645564,1.0
48,MAPKAP1,0.02023946680785887,173.7389422906616,0.05197213829416263,0.016777817859900818,251,0.0005371570587158203,0.37858288392372463,4,SE,-325.3760728247961,172.35263074797905,1.386311542682563,0.546126676660269,1.0
49,SARS2,0.013804238629586027,202.17713645871623,0.03346306075739272,0.012547538902851471,251,0.0008058547973632812,0.37858288392372463,4,SE,-382.25246116090534,199.83828410727102,2.3388523514452118,0.21079208972957295,1.0
50,PPP1R1A,0.7874153865697585,360.4670031464995,0.01024572640118327,0.0019095039435730445,251,0.00033402442932128906,0.37858288392372463,4,SE,-698.8321945364719,359.36486164924344,1.1021414972560706,0.6985510211386299,1.0
51,ZNF48,0.01983836669746417,186.91698951998922,0.026159244954591536,0.01357691264858275,251,0.0005879402160644531,0.37858288392372463,4,SE,-351.7321672834513,183.5611386734676,3.355850846521605,0.06869906098547311,1.0
52,IFT27,0.8159199083742281,206.6851958360702,0.04070323513953725,0.007071801634546513,251,0.0003590583801269531,0.37858288392372463,4,SE,-391.26857991561326,205.66229391703354,1.0229019190366557,0.7441282419950934,1.0
53,RHOU,0.9083255302028118,252.3262257926865,0.02036526632693594,0.00431575749808452,251,0.00033092498779296875,0.37858288392372463,4,SE,-482.5506398288459,251.5437380813135,0.782487711372994,0.8823204967116722,1.0
54,UBE2QL1,0.03930427222858209,334.1012397664854,0.014029422110213179,0.004110510514261714,251,0.0005350112915039062,0.37858288392372463,4,SE,-646.1006677764436,332.4190437258132,1.6821960406721814,0.4129306414792101,1.0
55,FASTKD5,0.013224786738947551,299.5711406645396,0.0165522560891502,0.0055647697553641365,251,0.0006170272827148438,0.37858288392372463,4,SE,-577.0404695725521,296.40389826629433,3.167242398245264,0.08499724787291887,1.0
56,ARL4C,0.0017610785033538576,241.99744163872367,0.024782499521297505,0.009066003591864408,251,0.0006511211395263672,0.37858288392372463,4,SE,-461.8930715209202,240.20517551871427,1.7922661200094012,0.3704940935479392,1.0
57,RPP14,0.02881823799632794,276.08675368924577,0.02205887280395915,0.006744311813214231,251,0.0005397796630859375,0.37858288392372463,4,SE,-530.0716956219644,274.44029675119117,1.6464569380545981,0.4275303163859573,1.0
58,BCAS1,0.0038458991550870364,207.44940804130715,0.0330305726500928,0.012165625634658117,251,0.0006299018859863281,0.37858288392372463,4,SE,-392.7970043260872,205.28373332252517,2.165674718781986,0.253020087742,1.0
59,ATG10,0.011931620991264942,254.45347350022416,0.022881441466704927,0.008098248433872824,251,0.0005350112915039062,0.37858288392372463,4,SE,-486.8051352439212,252.73554728546918,1.717926214754982,0.3987396046540541,1.0
60,MRPL10,0.0004197333505923706,217.7216181947452,0.034151429720602526,0.011391615910127204,251,0.0007171630859375,0.37858288392372463,4,SE,-413.34142463296325,216.18779286000012,1.5338253347450745,0.47621908480076436,1.0
61,REXO4,0.01165147514268897,234.80275127458106,0.025618566732624293,0.00951246715760736,251,0.0005431175231933594,0.37858288392372463,4,SE,-447.503690792635,233.01176409268425,1.79098718189681,0.37096558284518344,1.0
62,PAOX,0.012474130356985214,419.7106255617623,0.007072443371554855,0.0020893282662514646,251,0.0005309581756591797,0.37858288392372463,4,SE,-817.3194393669975,416.2972852301289,3.4133403316333784,0.06435994731455995,1.0
63,FBXO6,0.012013141293259574,150.9882149888823,0.050939017136650826,0.019705534244138803,251,0.0005450248718261719,0.37858288392372463,4,SE,-279.8746182212375,149.36313731628837,1.6250776725939318,0.4364588399569762,1.0
64,TINF2,0.00571748214437853,383.9051042527591,0.009481535206917975,0.002818638534760992,251,0.0005338191986083984,0.37858288392372463,4,SE,-745.708396748991,381.2218794215535,2.683224831205564,0.14538989259749568,1.0
65,AK1,0.9414991790896647,253.40751154799597,0.02300455391583336,0.004262997521653128,251,0.00039887428283691406,0.37858288392372463,4,SE,-484.7132113394648,252.73554728546895,0.6719642625270126,0.9395135037030586,1.0
66,PRX,0.008334277385169486,339.24416513044554,0.009809001285986047,0.003984426652009842,251,0.0005393028259277344,0.37858288392372463,4,SE,-656.386518504364,335.8806485941523,3.3635165362932185,0.06810462180267336,1.0
