,g,max_delta,max_ll_x,max_mu_hat,max_s2_t_hat,n,time,l,M,model,BIC,max_ll_y,D,pval,qval
29,Leng8,0.2639971682615208,-10.469313785584546,0.40322462942602866,0.16275650059542313,262,0.0005030632019042969,0.40200124377918117,4,SE,43.21200558621348,-11.399916339257288,0.9306025536727418,0.7853793216649332,1.0
30,Nckap1l,0.8978261060580284,116.9725311057536,0.07791132247268841,0.015566904743093253,262,0.00037479400634765625,0.40200124377918117,4,SE,-211.67168419646282,116.11591884565058,0.8566122601030202,0.8288323039797592,1.0
31,Papss1,0.014727333897564114,-19.114480498835533,0.41802416455365965,0.21312120249130873,262,0.0004949569702148438,0.40200124377918117,4,SE,60.50233901271545,-21.184163841260784,2.0696833424252503,0.2752919390659771,1.0
32,Pik3c2b,0.000680508271190559,7.508264250678565,0.21461850858108114,0.09447304749151839,262,0.0009388923645019531,0.40200124377918117,4,SE,7.256849513687257,5.1352503972938734,2.373013853384691,0.20104665403917485,1.0
33,Pgm2,0.0006967986572513164,-7.424096926625012,0.3381161358635966,0.15890170095679382,262,0.0009410381317138672,0.40200124377918117,4,SE,37.12157186829441,-9.999296712492821,2.5751997858678095,0.16232561802153325,1.0
34,Eif2b1,0.0016095681229863663,-11.277037914751034,0.32998848468838177,0.15603671756466894,262,0.0008671283721923828,0.40200124377918117,4,SE,44.827453844546454,-13.465333256391773,2.188295341640739,0.24371257026081325,1.0
35,Galnt7,0.00019659335333405524,0.9313403347353528,0.18415763429724616,0.08709929978648248,262,0.0013399124145507812,0.40200124377918117,4,SE,20.41069734557368,-0.9070458898090124,1.8383862245443652,0.34752450753281333,1.0
36,Rnf152,0.0019827552048816504,21.972293894746144,0.15678208315932204,0.07041539108721122,262,0.0008077621459960938,0.40200124377918117,4,SE,-21.671209774447902,19.298008952060684,2.6742849426854605,0.14600779373496203,1.0
37,Crem,0.01242855447006588,11.905902239847876,0.20677959451849193,0.08886135071081572,262,0.0006940364837646484,0.40200124377918117,4,SE,-1.5384264646513657,10.844022751031673,1.0618794888162029,0.708829134387928,1.0
38,Fat4,0.09982218345350596,85.32578024338449,0.08272952629814484,0.03320554792128513,262,0.0005068778991699219,0.40200124377918117,4,SE,-148.37818247172459,84.17861163538907,1.147168607995411,0.6605576924950207,1.0
39,Alkbh3,0.9135831612769306,80.7892069019266,0.12666069237003397,0.02418876831769876,262,0.0003399848937988281,0.40200124377918117,4,SE,-139.30503578880882,79.99357247804556,0.7956344238810402,0.8641508882281546,1.0
40,2010003O02Rik,0.8949485318501975,81.83789741433966,0.12066557862679717,0.02357366255111213,262,0.0003452301025390625,0.40200124377918117,4,SE,-141.40241681363494,80.99583304370043,0.8420643706392354,0.837321771175755,1.0
41,Nfib,0.06415559776986814,-71.33989534154861,0.6723250285018996,0.4580179511626924,262,0.0005030632019042969,0.40200124377918117,4,SE,164.9531686981416,-72.508597600239,1.168702258690388,0.6486293879030829,1.0
42,Atp11a,0.01947113574628068,-28.151780745484487,0.48695898851816494,0.26892823621875994,262,0.0005059242248535156,0.40200124377918117,4,SE,78.57693950601336,-29.94376787876638,1.7919871332818929,0.3638511868256919,1.0
43,Szrd1,0.01797652951565525,-31.426383853734222,0.3478216167409453,0.17428677103306753,262,0.0005130767822265625,0.40200124377918117,4,SE,85.12614572251283,-33.22701831189306,1.8006344581588394,0.3607596283948096,1.0
44,C1qb,0.03368779211760809,-20.14258831539165,0.4188294266281698,0.2106706994221204,262,0.0005559921264648438,0.40200124377918117,4,SE,62.558554645827684,-21.402512560836726,1.2599242454450774,0.599448221265809,1.0
45,Gatm,0.022562663650144296,-46.06472354493191,0.6530126437216638,0.4358238892137016,262,0.0005118846893310547,0.40200124377918117,4,SE,114.4028251049082,-47.86157520935774,1.79685166442583,0.36210927062687204,1.0
46,Tnip1,0.0025985451268333505,12.02520685826272,0.19852472740190083,0.08681064939682472,262,0.0007910728454589844,0.40200124377918117,4,SE,-1.7770357014810543,10.162274827203817,1.8629320310589037,0.3391450489467579,1.0
47,Nanp,0.003009262352302105,30.148703217413612,0.1730740297354917,0.07188068212576665,262,0.0006899833679199219,0.40200124377918117,4,SE,-38.02402841978284,27.13970547510263,3.0089977423109815,0.10161283535222855,1.0
48,Ppp4r1,0.018495559772614998,-28.844933695882403,0.33977501000107785,0.16816330777871985,262,0.0005056858062744141,0.40200124377918117,4,SE,79.9632454068092,-30.627881712289252,1.7829480164068485,0.3671069134313088,1.0
49,Vps54,0.009680170666970868,-29.132217604465666,0.283915055541363,0.14042990583528206,262,0.0007889270782470703,0.40200124377918117,4,SE,80.53781322397572,-30.819765723440355,1.6875481189746893,0.402994377321113,1.0
50,Sypl,0.0764107642078206,-64.83763134189482,0.5532852018315177,0.33288138280216617,262,0.0004999637603759766,0.40200124377918117,4,SE,151.94864069883403,-66.00386017149884,1.166228829604023,0.6499936861930309,1.0
51,Rnpc3,0.0030764266492816893,15.665676082501477,0.1723716922539646,0.07711834009059439,262,0.0008356571197509766,0.40200124377918117,4,SE,-9.057974149958568,13.970152820318674,1.6955232621828031,0.3998861306850777,1.0
52,Usp25,0.07054144710590178,32.69318778276326,0.17025307323083508,0.06593712994404557,262,0.0005061626434326172,0.40200124377918117,4,SE,-43.112997550482135,31.420641509993118,1.2725462727701427,0.5928269317689214,1.0
53,Osbpl5,0.039092470871917334,41.87840791245435,0.16706114948925788,0.06397287535560227,262,0.0005559921264648438,0.40200124377918117,4,SE,-61.48343780986431,40.351487292320144,1.5269206201342058,0.4699098394619239,1.0
